,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
319,2017,5,2,799,537,24
320,2017,5,3,813,544,25
321,2017,5,4,689,396,26
322,2017,5,0,627,499,29
323,2017,5,1,796,553,30
324,2017,5,2,781,478,31
325,2017,6,3,812,492,1
326,2017,6,4,608,361,2
327,2017,6,0,616,506,5
328,2017,6,1,778,525,6
329,2017,6,2,768,500,7
330,2017,6,3,787,496,8
331,2017,6,4,642,359,9
332,2017,6,0,681,469,12
333,2017,6,1,779,503,13
334,2017,6,2,738,419,14
335,2017,6,4,315,158,16
336,2017,6,0,608,494,19
337,2017,6,1,786,520,20
338,2017,6,2,788,512,21
339,2017,6,3,769,484,22
340,2017,6,4,661,367,23
341,2017,6,0,635,493,26
342,2017,6,1,792,502,27
343,2017,6,2,770,490,28
344,2017,6,3,738,487,29
345,2017,6,4,565,301,30
346,2017,7,0,660,467,3
347,2017,7,1,742,461,4
348,2017,7,3,746,444,6
349,2017,7,4,591,347,7
350,2017,7,0,540,397,10
351,2017,7,1,605,375,11
352,2017,7,2,629,375,12
353,2017,7,3,588,339,13
354,2017,7,4,407,212,14
355,2017,7,0,424,291,17
356,2017,7,1,446,238,18
357,2017,7,2,429,286,19
358,2017,7,3,378,183,20
359,2017,7,4,314,154,21
360,2017,7,0,124,0,24
361,2017,7,1,125,0,25
362,2017,7,2,145,0,26
363,2017,7,3,146,0,27
364,2017,7,4,103,0,28
365,2017,7,0,132,0,31
366,2017,8,1,138,0,1
367,2017,8,2,151,0,2
368,2017,8,3,150,0,3
369,2017,8,4,132,0,4
370,2017,8,0,143,0,7
371,2017,8,1,149,0,8
372,2017,8,2,166,0,9
373,2017,8,3,176,0,10
374,2017,8,4,139,0,11
375,2017,8,0,281,0,14
376,2017,8,1,378,0,15
377,2017,8,2,687,466,16
378,2017,8,3,732,462,17
379,2017,8,4,544,326,18
380,2017,8,0,801,558,21
381,2017,8,1,947,576,22
382,2017,8,2,895,647,23
383,2017,8,3,858,539,24
384,2017,8,4,658,386,25
385,2017,8,0,777,547,28
386,2017,8,1,939,598,29
387,2017,8,2,894,588,30
388,2017,8,3,870,559,31
389,2017,9,4,705,434,1
390,2017,9,0,793,578,4
391,2017,9,1,935,530,5
392,2017,9,2,759,469,6
393,2017,9,4,232,136,8
394,2017,9,0,762,560,11
395,2017,9,1,943,589,12
396,2017,9,2,823,560,13
397,2017,9,3,869,565,14
398,2017,9,4,672,411,15
399,2017,9,0,728,554,18
400,2017,9,1,882,529,19
401,2017,9,2,784,534,20
402,2017,9,3,842,505,21
403,2017,9,4,702,428,22
404,2017,9,0,702,519,25
